"CountyID","CountyName","GeoID","FundingC1","FundingOcap","C1LeadNurseRegion","Urban","LabelLongitude","LabelLatitude","MiechvEvaluation","MiechvFormula","WicNeedPopInfant","WicNeedPopTotal","WicYear"
1,"Adair",40001,1,0,11,0,-94.6641458915974,35.9069668367649,0,0,284,1526,2010
2,"Alfalfa",40003,0,0,15,0,-98.32320857933,36.7309255630188,0,0,37,172,2010
3,"Atoka",40005,1,0,4,0,-96.0420499703509,34.3809870625568,0,0,112,730,2010
4,"Beaver",40007,0,0,2,0,-100.474745176143,36.7458468405142,0,0,34,166,2010
5,"Beckham",40009,1,0,14,0,-99.686661710574,35.2696357540839,0,0,176,1007,2010
6,"Blaine",40011,1,0,1,0,-98.4243959224942,35.8688113906142,0,0,85,457,2010
7,"Bryan",40013,1,0,6,0,-96.2558008293072,33.9616831096468,0,0,294,1830,2010
8,"Caddo",40015,1,0,17,0,-98.3718783669626,35.177793720151,0,0,291,1778,2010
9,"Canadian",40017,1,0,10,0,-97.9753768794938,35.5340567548489,0,0,494,2704,2010
10,"Carter",40019,1,0,12,0,-97.2729492125733,34.2546712262712,0,0,413,2508,2010
11,"Cherokee",40021,1,0,18,0,-95.0103824561735,35.9355360744063,0,0,423,2705,2010
12,"Choctaw",40023,1,0,6,0,-95.5473573813567,34.0538123875066,0,0,175,1032,2010
13,"Cimarron",40025,0,0,2,0,-102.512063683289,36.7373650133402,0,0,21,152,2010
14,"Cleveland",40027,1,0,7,0,-97.3299363042633,35.2012061949784,0,0,977,5760,2010
15,"Coal",40029,1,0,4,0,-96.2861224539074,34.5953455038142,0,0,38,277,2010
16,"Comanche",40031,1,0,17,0,-98.4691943985634,34.6655369286933,1,0,1155,6886,2010
17,"Cotton",40033,0,0,17,0,-98.368786919333,34.2918378918678,0,0,43,242,2010
18,"Craig",40035,1,0,18,0,-95.2160886407782,36.7853186104569,0,0,88,566,2010
19,"Creek",40037,1,0,1,0,-96.3651747616148,35.8984115595445,0,0,499,2919,2010
20,"Custer",40039,1,0,10,0,-98.9947255933091,35.6355925726426,0,0,216,1279,2010
21,"Delaware",40041,1,0,18,0,-94.8114064665649,36.4330750413896,0,0,318,1946,2010
22,"Dewey",40043,0,0,1,0,-99.0026276338638,35.9860641060811,0,0,37,218,2010
23,"Ellis",40045,0,0,2,0,-99.7541920843861,36.2085544939542,0,0,31,163,2010
24,"Garfield",40047,1,0,15,0,-97.7785191348422,36.3678657387894,0,1,476,2653,2010
25,"Garvin",40049,1,0,9,0,-97.3023768608149,34.7103145563251,0,0,204,1287,2010
26,"Grady",40051,1,0,9,0,-97.8800824410339,35.0140335742845,0,0,329,1922,2010
27,"Grant",40053,0,0,15,0,-97.7845052708135,36.7906959570334,0,0,23,169,2010
28,"Greer",40055,0,0,14,0,-99.5593444200064,34.9427664878966,0,0,40,238,2010
29,"Harmon",40057,0,0,14,0,-99.8462629867067,34.7474029014696,0,0,29,162,2010
30,"Harper",40059,0,0,2,0,-99.6718629310338,36.7775045477641,0,0,30,155,2010
31,"Haskell",40061,0,0,13,0,-95.1194074966018,35.2553093637869,0,0,91,602,2010
32,"Hughes",40063,1,0,16,0,-96.2384521145052,35.0526183366767,0,0,136,740,2010
33,"Jackson",40065,1,0,14,0,-99.4153765114804,34.5917941766762,0,0,276,1674,2010
34,"Jefferson",40067,0,0,12,0,-97.8233420069576,34.1110896977992,0,0,53,267,2010
35,"Johnston",40069,1,0,12,0,-96.6493986247792,34.3187259845145,0,0,93,491,2010
36,"Kay",40071,1,0,3,0,-97.1487308209393,36.8197603838225,0,1,417,2548,2010
37,"Kingfisher",40073,1,0,1,0,-97.9367093480735,35.934131116842,0,0,90,623,2010
38,"Kiowa",40075,0,0,17,0,-98.9722460102744,34.9187670789366,0,0,89,533,2010
39,"Latimer",40077,0,0,8,0,-95.2557710119632,34.9067885471894,0,0,79,564,2010
40,"Le Flore",40079,1,0,8,0,-94.7111774971803,34.9299511687652,0,0,449,2689,2010
41,"Lincoln",40081,1,0,1,0,-96.8794645451841,35.69193772589,0,0,250,1412,2010
42,"Logan",40083,1,0,1,0,-97.4379547025155,35.9055803786812,0,0,214,1218,2010
43,"Love",40085,0,0,12,0,-97.2337960481928,34.0006399600389,0,0,71,407,2010
44,"McClain",40093,0,0,7,0,-97.4331745941108,35.0031201393918,0,0,211,1169,2010
45,"McCurtain",40095,1,0,6,0,-94.7840344331028,34.1452341840507,0,0,333,2189,2010
46,"McIntosh",40097,1,0,13,0,-95.6644800921539,35.398840067242,0,0,135,913,2010
47,"Major",40087,0,0,15,0,-98.524560069483,36.3106916876361,0,0,65,321,2010
48,"Marshall",40089,1,0,12,0,-96.7563551232226,34.0264118585759,0,0,128,708,2010
49,"Mayes",40091,1,0,18,0,-95.2377239906663,36.3337424158728,0,0,314,1859,2010
50,"Murray",40099,1,0,9,0,-97.0572913816591,34.4888457946869,0,0,82,516,2010
51,"Muskogee",40101,1,0,11,0,-95.3855658011359,35.6427027662025,1,0,678,3983,2010
52,"Noble",40103,0,0,3,0,-97.2279763724569,36.3855065817112,0,0,71,447,2010
53,"Nowata",40105,0,0,5,0,-95.6260913238725,36.8198423472456,0,0,70,434,2010
54,"Okfuskee",40107,0,0,16,0,-96.3097295106855,35.4641810903221,0,0,105,589,2010
55,"Oklahoma",40109,1,0,19,1,-97.4049770992058,35.5394523331614,1,0,6606,37921,2010
56,"Okmulgee",40111,1,0,13,0,-95.9607718994239,35.6570209142237,0,0,365,2092,2010
57,"Osage",40113,0,0,5,0,-96.4045798127983,36.634052844886,0,0,223,1436,2010
58,"Ottawa",40115,1,0,18,0,-94.8180540321859,36.8552992868479,0,0,283,1665,2010
59,"Pawnee",40117,1,0,3,0,-96.6990049468818,36.3168088803122,0,0,100,635,2010
60,"Payne",40119,1,0,3,0,-96.9751478239377,36.0693458141458,0,0,455,2480,2010
61,"Pittsburg",40121,1,0,4,0,-95.7439797251411,34.9488015969789,0,0,315,1725,2010
62,"Pontotoc",40123,1,0,4,0,-96.674562329413,34.7307576005793,0,0,321,1917,2010
63,"Pottawatomie",40125,1,0,16,0,-96.9445206954569,35.3015638806384,0,0,475,2983,2010
64,"Pushmataha",40127,0,0,6,0,-95.3842741209906,34.4497873058268,0,0,105,611,2010
65,"Roger Mills",40129,0,0,14,0,-99.6999273109391,35.6831343827393,0,0,32,185,2010
66,"Rogers",40131,1,0,5,0,-95.6121330018314,36.3979046759883,0,0,358,2185,2010
67,"Seminole",40133,1,0,16,0,-96.6001413613621,35.1681506005071,0,0,254,1517,2010
68,"Sequoyah",40135,1,0,11,0,-94.760490800755,35.5205440172208,0,0,337,1989,2010
69,"Stephens",40137,1,0,9,0,-97.8463715950095,34.4843230918468,0,0,321,1783,2010
70,"Texas",40139,1,0,2,0,-101.477803361668,36.7450721534074,0,0,236,1350,2010
71,"Tillman",40141,0,0,14,0,-98.921205231615,34.3753490926514,0,0,81,441,2010
72,"Tulsa",40143,1,0,20,1,-95.9428049690609,36.1338366907781,1,0,4160,24746,2010
73,"Wagoner",40145,1,0,11,0,-95.5384179113774,35.9858739766272,0,0,357,2119,2010
74,"Washington",40147,1,0,5,0,-95.9132782566878,36.7270298442834,0,0,308,1841,2010
75,"Washita",40149,0,0,10,0,-98.9917075036666,35.2907305029854,0,0,86,527,2010
76,"Woods",40151,0,0,2,0,-98.8729461327617,36.7708675261212,0,0,43,256,2010
77,"Woodward",40153,1,0,2,0,-99.260005758032,36.416401211778,0,0,133,754,2010
